代码,中文名,简介,持仓数量,成本价,收盘价,持仓市值,持仓占比,昨日收盘价,单日盈亏,总盈亏,,
NVDA,英伟达,GPU生产商,150,170.03,178.4300,26764.5,12%,183.6100,-777.00 ,1260,,
GOOGL,谷歌,,100,235.59,251.6600,25166,11%,252.5300,-87.00 ,1607,,
TSLA,特斯拉,,50,349.07,425.8500,21292.5,9%,434.2100,-418.00 ,3839,,
BE,BE,做供电发电的，燃料电池,60,54.62,77.3800,4642.8,2%,86.2700,-533.40 ,1365.6,,
AVGO,博通,做定制GPU，定制芯片的,30,348.69,338.9400,10168.2,4%,338.7900,4.50 ,-292.5,,
BABA,阿里巴巴,,130,144.54,163.0800,21200.4,9%,164.2500,-152.10 ,2410.2,,
VRT,维谛技术,冷却GPU的,100,137.02,142.6100,14261,6%,151.9600,-935.00 ,559,,
YINN,三倍做多中国,YINN做多,200,53.90,50.5500,10110,4%,52.6300,-416.00 ,-670,,
PLTR,Palantir,通过数据帮助政府、商业的,100,172.58,182.5500,18255,8%,179.3300,322.00 ,997,,
PAAS,泛美白银,,200,34.66,37.7700,7554,3%,37.3700,80.00 ,622,,
EZJ,两倍做多日本,,50,50.15,50.1490,2507.45,1%,50.1490,0.00 ,-0.05,,
TSM,台积电,给别人把芯片做出来的,100,259.83,282.7100,28271,12%,272.6300,"1,008.00 ",2288,,
META,META,,20,785.61,755.4000,15108,7%,765.1600,-195.20 ,-604.2,,
TMF,三倍做多美国长债,,300,39.69,40.2200,12066,5%,39.8300,117.00 ,160.5,,
,,,,,,,,当日盈亏,"-1,982.20 ",,,
,,,,,,,,,,,,
总金额,230000,,,,,,,,,,,
仓位,89%,,,,,,,,,,,
总盈亏,13381.05,,,,,,,,,,,
总盈亏（%）,6%,,,,,,,,,,,
,,,,,,,,,,,,
持仓占比,,,,,,,,,,,,
AI相关,62%,,,,,,,,,,,
硬件,37%,,,,,,,,,,,
软件,25%,,,,,,,,,,,
宏观对冲,10%,,,,,,,,,,,
Long中国,14%,,,,,,,,,,,
TSLA,9%,,,,,,,,,,,
,,,,,,,,,,,,
今日日期,2025/9/23,,,,,,,,,,,
昨天日期,2025/9/22,,,,,,,,,,,
