代码,中文名,简介,持仓数量,成本价,收盘价,持仓市值,持仓占比,昨日收盘价,单日盈亏,总盈亏,,
NVDA,英伟达,GPU生产商,150,170.03,183.6100,27541.5,11%,176.6700,"1,041.00 ",2037,,
GOOGL,谷歌,,100,235.59,252.5300,25253,11%,254.7200,-219.00 ,1694,,
TSLA,特斯拉,,50,349.07,434.2100,21710.5,9%,426.0700,407.00 ,4257,,
BE,BE,做供电发电的，燃料电池,60,54.62,86.2700,5176.2,2%,84.9300,80.40 ,1899,,
AVGO,博通,做定制GPU，定制芯片的,30,348.69,338.7900,10163.7,4%,344.9400,-184.50 ,-297,,
BABA,阿里巴巴,,130,144.54,164.2500,21352.5,9%,162.8100,187.20 ,2562.3,,
VRT,维谛技术,冷却GPU的,100,137.02,151.9600,15196,6%,143.6000,836.00 ,1494,,
YINN,三倍做多中国,YINN做多,200,53.90,52.6300,10526,4%,53.7800,-230.00 ,-254,,
PLTR,Palantir,通过数据帮助政府、商业的,100,172.58,179.3300,17933,7%,182.3900,-306.00 ,675,,
PAAS,泛美白银,,200,34.66,37.3700,7474,3%,36.4600,182.00 ,542,,
EZJ,两倍做多日本,,50,50.15,49.6580,2482.9,1%,50.6020,-47.20 ,-24.6,,
TSM,台积电,给别人把芯片做出来的,100,259.83,272.6300,27263,11%,264.8700,776.00 ,1280,,
META,META,,20,785.61,765.1600,15303.2,6%,778.3800,-264.40 ,-409,,
,,,,,,,,当日盈亏,"2,258.50 ",,,
,,,,,,,,,,,,
总金额,240000,,,,,,,,,,,
仓位,86%,,,,,,,,,,,
总盈亏,15455.7,,,,,,,,,,,
总盈亏（%）,6%,,,,,,,,,,,
,,,,,,,,,,,,
持仓占比,,,,,,,,,,,,
AI相关,60%,,,,,,,,,,,
硬件,36%,,,,,,,,,,,
软件,24%,,,,,,,,,,,
宏观对冲,4%,,,,,,,,,,,
Long中国,13%,,,,,,,,,,,
TSLA,9%,,,,,,,,,,,
,,,,,,,,,,,,
今日日期,2025/9/22,,,,,,,,,,,
昨天日期,2025/9/21,,,,,,,,,,,
